Vocabulary,Part of Speech,Definition,Suggested Reading,Base Word
"for, fari, fatus sum",verb,"to speak, say",4.6,for
"forma, -ae (f.)",noun,"a form, contour, figure, shape, appearance, 
looks",1.4,forma
"formido, -inis (f.)",noun,"fearfulness, fear, terror, dread, awe",1.2,formido
fortasse,adverb,"perhaps, possibly; it may be",3.4,fortasse
forte,adverb,"by chance, by accident",2.1,forte
"fortis, -e",adjective,"strong, firm, stout, courageous, brave, valiant, 
bold, fearless",1.4,fortis
"fortuna, -ae (f.)",noun,"chance, luck, fate, fortune",1.3,fortuna
"forum, -i (n.)",noun,"a forum, market; the Forum (in Rome); court 
of justice",3.4,forum
"frango, -ere, fregi, fractum",verb,"to break in pieces, dash to pieces, shiver, 
shatter, fracture",1.4,frango
"frater, -tris (m.)",noun,a brother,2.3,frater
frustra,adverb,"in vain; for nothing, to no purpose",3.4,frustra
"fuga, -ae (f.)",noun,"a fleeing, flight, running away",1.4,fuga
"fugio, -ere, fugi, fugitum",verb,"to flee, fly, take flight, run away, make off",1.3,fugio
"furor, -oris (m.)",noun,"a raving, rage, madness, fury, passion",4.6,furor
"futurus, -a, -um",adjective,"going to be, yet to be, to come, future",2.4,futurus
"Gaius (or Caius), -i (m.)",noun (proper),"Gaius, a Roman male name (praenomen) 
abbreviated C.",2.1,Gaius
"gaudeo, -ere, gavisus sum",verb,"to rejoice, be glad, be joyful, take pleasure, be 
pleased, delight",4.6,gaudeo
"gaudium, -i (n.)",noun,"joy, gladness, delight",2.1,gaudium
"geminus, -a, -um",adjective,"born together, twin-born, twin; paired, double, 
twofold, both, two",4.6,geminus
"gemitus, -us (m.)",noun,"a sighing, sigh, groan, lamentation, complaint",2.4,gemitus
"gens, gentis (f.)",noun,"a race, clan, house",4.4,gens
"genus, -eris (n.)",noun,"a race, stock, family, birth, descent, origin, 
sort, kind",3.4,genus
"gero, -ere, gessi, gestum",verb,"to bear about, bear, carry, wear, have, hold, 
sustain",3.1,gero
"gladiator, -oris (m.)",noun,a gladiator,1.4,gladiator
"gladius, -i (m.)",noun,a sword,1.4,gladius
"gloria, -ae (f.)",noun,"glory, fame, renown, praise, honor",1.4,gloria
"gradus, -us (m.)",noun,"a step, pace, gait, walk",2.4,gradus
"gratia, -ae (f.)",noun,"favor, regard, liking, love, friendship; charm, 
beauty, loveliness",1.4,gratia
"gratus, -a, -um",adjective,"beloved, dear, acceptable, pleasing, 
agreeable",3.6,gratus
"gravis, -e",adjective,"heavy, weighty, ponderous, burdensome, 
loaded, laden, burdened",1.1,gravis
"habeo, -ere, -ui, -itum",verb,"to have, hold, support, carry, wear",1.1,habeo
"habito, -are, -avi, -atum",verb,"to inhabit, dwell; to live, stay",1.3,habito
"haereo, -ere, haesi, haesum",verb,"to stick, adhere, cling to; to hesitate; to be in 
difficulties",3.1,haereo
"hasta, -ae (f.)",noun,"a staff, rod, pole; a spear, lance, pike, javelin",4.6,hasta
haud or haut,adverb,"not, not at all, by no means",5.4,haud
"haurio, -ire, hausi, haustum",verb,"to draw up, draw out, draw; to drain, drink up, 
spill, shed",1.3,haurio
"Helvia, -ae (f.)",noun (proper),"a Roman female name (nomen - name of a 
Roman gens)",1.2,Helvia
"herba, -ae (f.)",noun,"grass, an herb",3.1,herba
heri,adverb,yesterday,4.1,heri
hic,adverb,"here, in this place",1.2,hic
"hic, haec, hoc",pronoun/adjective,this,1.1,hic
"hiems, -emis (m.)",noun,"winter; cold, frost; a storm, stormy weather",3.6,hiems
hinc,adverb,"from this place, hence",4.4,hinc
"historia, -ae (f.)",noun,"a narrative of past events, history",1.4,historia
hodie,adverb,"today, nowadays; at the present time",4.1,hodie
"homo, -inis (m.)",noun,"a human being, man, person",1.2,homo
"honor (honos), -oris (m.)",noun,"honor, repute, esteem, reputation, praise, 
distinction",3.1,honor
"hora, -ae (f.)",noun,an hour; time; season,1.2,hora
"horrendus, -a, -um",adjective,"dreadful, terrible, fearful, horrible",2.3,horrendus
"horreo, -ere, -ui",verb,"to stand on end, stand erect, bristle, be rough",2.3,horreo
"hortus, -i (m.)",noun,a garden; park (pl.),4.1,hortus
"hospes, -itis (m.)",noun,"a guest, visitor; stranger; host",5.1,hospes
"hostis, -is (m.)",noun,"a stranger, foreigner; an enemy, foe, public 
enemy",1.3,hostis
huc,adverb,"to this place, hither",1.1,huc
"humanus, -a, -um",adjective,"of man, human",3.1,humanus
"iaceo, -ere, -cui, -citum",verb,"to lie, be recumbent, be prostrate, lie at rest",1.3,iaceo
"iacio, -ere, ieci, iactum",verb,to throw (away); establish; declare,4.1,iacio
"iacto, -are, -avi, -atum",verb,"to throw, cast, hurl",4.4,iacto
iam,adverb,"at the moment, at the present moment, now, 
at this time, just now, at present",1.1,iam
"ianua, -ae (f.)",noun,"a door, entrance",4.1,ianua
"iatralipta or -es, -ae (m.)",noun,"a physician, especially one who uses 
massage and ointments",3.4,iatralipta
ibi,adverb,"in that place, there; on the spot, then, 
thereupon",2.1,ibi
"idem, eadem, idem",pronoun/adjective,the same,1.2,idem
igitur,conjunction,"then, therefore, thereupon, accordingly, 
consequently",3.1,igitur
"ignavus, -a, -um",adjective,"lazy, idle; spiritless; cowardly, faint-hearted; 
ignoble",4.1,ignavus
"ignis, -is (m.)",noun,fire,1.3,ignis
"ille, illa, illud",pronoun/adjective,that,1.1,ille
illic,adverb,"in that place, yonder, there",1.2,illic
"imago, -inis (f.)",noun,"an imitation, copy, image, likeness, statue, 
picture; a ghost",3.1,imago
"immineo (inm-), -ere",verb,"to project over, lean towards, hang down over, 
overhang, overarch",2.1,immineo
"immortalis (inm-), -e",adjective,"immortal, undying",1.3,immortalis
"impello (inp-), -ere, -puli, 
-pulsum",verb,"to strike against, push, drive, strike; set in 
motion, drive forward, move, urge on",2.3,impello
"imperator, -oris (m.)",noun,"a commander, leader, chief, director, ruler, 
general",3.4,imperator
"imperium, -i (n.)",noun,"a command, order; supreme power, sway, 
dominion, empire",1.3,imperium
"impetus, -us (m.)",noun,"an attack, assault, onset; violence, fury, rush, 
force",5.3,impetus
"implico (inp-), -are, -avi -atum 
(or -ui, -itum)",verb,"to infold, involve, entangle, envelop, encircle, 
embrace, clasp, grasp",3.1,implico
"impono (inp-), -ere, -posui, 
-positum",verb,"to place upon, set on, impose, establish, 
introduce, set, place",1.3,impono
in,preposition,"(with abl.) in, on; (with acc.) into, to, onto",1.1,in
"incendium, -i (n.)",noun,"a fire; fiery heat; fiery passion, love, hostility; 
incendiary missile; (pl.) flames",1.4,incendium
"incertus, -a, -um",adjective,"not fixed, unsettled, undetermined; irresolute, 
hesitating, undecided, doubtful, at a loss",2.1,incertus
"incido, -ere, -cidi",verb,"to fall in, fall, light, strike, reach, find the way",2.1,incido
"incipio, -ere, -cepi, -ceptum",verb,"to take hold, take in hand, begin",2.3,incipio
"incito, -are, -avi, -atum",verb,"to enrage; urge on, incite; inspire",4.6,incito
inde,adverb,"from that place, from there, thence",3.1,inde
"induo, -ere, -ui, -utum",verb,"to put on, clothe, cover; to dress oneself in",1.2,induo
"infans, -fantis",adjective,"speechless; (as a noun) a little child, infant, 
baby",2.4,infans
"infelix, -icis",adjective,"unfruitful, not fertile, barren; unfortunate, ill-
fated, unhappy, miserable",4.6,infelix
"inferus, -a, -um",adjective,"below, beneath, underneath, lower, of the 
lower world",5.3,inferus
"ingenium, -i (n.)",noun,"innate quality, nature, temperament, 
constitution, character",5.1,ingenium
"ingens, -tis",adjective,"not natural, vast, huge, enormous, great, 
remarkable",2.3,ingens
"inimicus, -a, -um",adjective,"unfriendly, hostile, inimical",5.3,inimicus
"initium, -i (n.)",noun,a beginning; entrance,3.1,initium
"iniuria, -ae (f.)",noun,"an injustice, wrong, outrage, injury, insult",4.4,iniuria
"inquam (defective verb, inquis, 
inquit, inquimus, inquiunt)",verb,to say,1.3,inquam
"insanus, -a, -um",adjective,"insane, unhealthy in mind",5.3,insanus
"inspicio, -ere, -spexi, -spectum",verb,"to examine, inspect; to consider, look into",4.6,inspicio
"insula, -ae (f.)",noun,an island; apartment building,5.1,insula
"intellego, -ere, -exi, -ectum",verb,to understand; realize,5.3,intellego
"intendo, -ere, -di, -tum",verb,"to stretch out, reach forth, extend",3.1,intendo
"intentus, -a, -um",adjective,"eager, intent, attentive; strict; intense, 
strenuous; serious",2.3,intentus
inter,preposition,"(with acc.) between, among",1.2,inter
interea,adverb,"meanwhile, in the meantime",2.1,interea
interdum,adverb,"sometimes, occasionally, now and then",5.4,interdum
"interficio, -ere, -feci, -fectum",verb,"to kill, destroy",5.4,interficio
interim,adverb,"meanwhile, in the meantime",1.4,interim
intra,preposition,"(with acc.) (of space) within, inside, on the 
inside; (of time) during; fewer than",1.3,intra
"intro, -are, -avi, -atum",verb,"to go into, enter",5.1,intro
"invenio, -ire, -veni, -ventum",verb,"to come upon, find, meet with, light upon",1.1,invenio
"invitus, -a, -um",adjective,"reluctant, unwilling; against one’s will",5.3,invitus
"ipse, -a, -um",pronoun/adjective,"self, in person, himself, herself, itself, etc.",1.1,ipse
"ira, -ae (f.)",noun,"anger, wrath, rage, ire, passion, indignation",2.1,ira
"iratus, -a, -um",adjective,"angry, angered; violent",5.3,iratus
"is, ea, id",pronoun/adjective,"he, she, it; this, that, the",1.1,is
"iste, -a, -ud",pronoun/adjective,"that, this, that of yours",1.2,iste
ita,adverb,"in this manner, in this wise, in such a way, so, 
thus, accordingly, as has been said",1.3,ita
"Italia, -ae (f.)",noun (proper),Italy,2.1,Italia
itaque,conjunction,"and so, and thus, and accordingly",3.4,itaque
"iter, itineris (n.)",noun,"a going, walk, way, journey, passage, march, 
voyage",5.4,iter
iterum,adverb,"again, a second time, once more, anew",1.2,iterum
"iubeo, -ere, iussi, iussum",verb,"to order, give an order, bid, tell, command",1.2,iubeo
"iudex, -icis (m.)",noun,a judge; juror,5.3,iudex
"iugum, -i (n.)",noun,"a yoke, collar; a height, summit, ridge, chain of 
mountains",4.4,iugum
"Iulia, -ae (f.)",noun (proper),"a Roman female name (nomen - name of a 
Roman gens)",6.1,Iulia
"Iuno, -onis (f.)",noun (proper),"Juno, queen of the gods, daughter of 
Saturn, sister and wife of Jupiter, goddess of 
marriage",4.4,Iuno
"Iuppiter (Iupi-), Iovis (m.)",noun (proper),"Jupiter, Jove, king of the gods, son of Saturn, 
brother and husband of Juno, god of the sky",5.1,Iuppiter
"ius, iuris (n.)",noun,"right, justice, duty, law",3.4,ius
"iuvenis, -is (m. or f.)",noun,"a young person, youth",2.4,iuvenis
"iuvo, -are, iuvi, iutum",verb,"to help, aid, assist, further, serve, support, 
benefit",1.4,iuvo
iuxta,preposition,"(with acc.) near, close to, next to; on par with, 
like",5.3,iuxta
"labor, -i, lapsus sum",verb,"to glide, slide, move, fall, slip, float, pass, flow",5.1,labor
"labor, -oris (m.)",noun,"labor, toil, exertion",2.1,labor
"laboro, -are, -avi, -atum",verb,"to work; produce; be troubled, sick, 
oppressed, in distress",6.2,laboro
"lacrima (lacruma), -ae (f.)",noun,a tear,5.1,lacrima
"lacrimo, -are, -avi, -atum",verb,"to cry, shed tears",3.6,lacrimo
"laedo, -ere, -si, -sum",verb,"to hurt, wound, injure, damage",4.4,laedo
"laetitia, -ae (f.)",noun,"joy, happiness; source of joy, delight",4.1,laetitia
"laetus, -a, -um",adjective,"happy, joyful, cheerful, glad, delighted, full of 
joy",2.1,laetus
"Laocoön, -ontis (m.)",noun (proper),"Laocoön, a Trojan prince and priest of Apollo, 
serving as the priest of Neptune in the last 
days of Troy",4.6,Laocoon
"lapis, -idis (m.)",noun,a stone,2.1,lapis
"Latium, -i (n.)",noun (proper),"Latium, the region of Italy in which Rome was 
situated",4.4,Latium
"latus, -eris (n.)",noun,"the side, flank",2.3,latus
"laudo, -are, -avi, -atum",verb,"to praise, commend, honor, approve",5.3,laudo
"laus, laudis (f.)",noun,"praise, commendation, glory, fame, renown, 
esteem",5.3,laus
"lavo, -are (or -ere), lavi, lautus 
(or lotus)",verb,"to wash, bathe",4.1,lavo
"lectus, -i (m.)",noun,"a couch, bed",4.1,lectus
"legatus, -i (m.)",noun,"an ambassador, legate",5.4,legatus
"legio, -onis (f.)",noun,"a body of soldiers, legion",5.1,legio
"lego, -ere, legi, lectum",verb,"to bring together, gather, choose; to read",1.4,lego
"lentus, -a, -um",adjective,slow,3.1,lentus
"leo, leonis (m.)",noun,a lion,3.4,leo
"levis, -e",adjective,"light, not heavy",1.3,levis
"lex, legis (f.)",noun,"a law, bill, regulation, principle, rule",2.1,lex
"liber, -bri (m.)",noun,"the bark of a tree; paper, book",2.1,liber
"liber, -era, -erum",adjective,"free, unrestricted, unrestrained, unimpeded, 
unshackled",3.6,liber
"liberi, -orum (m. pl.)",noun,children,3.6,liberi
"libero, -are, -avi, -atum",verb,"to free; acquit, absolve; liberate, release",4.1,libero
"liberta, -ae (f.)",noun,"a freedwoman, freed person, former enslaved 
woman",3.4,liberta
"libertas, -atis (f.)",noun,"freedom, liberty, absence of restraint, 
permission",5.4,libertas
"libertus, -i (m.)",noun,"a freedman, freed person, former enslaved 
man",3.1,libertus
"licet, -ere, licuit and licitum est",verb,"it is lawful, is allowed, is permitted; even if, 
although, notwithstanding",3.1,licet
"limen, -inis (n.)",noun,"a threshold, sill",1.4,limen
"lingua, -ae (f.)",noun,"the tongue; speech, language",4.6,lingua
"littera, -ae (f.)",noun,"a letter (alphabet); (pl.) letter, epistle; literature, 
books, records, account",2.3,littera
"litus, -oris (n.)",noun,"the sea-shore, sea-side, beach",1.3,litus
"Livia, -ae (f.)",noun (proper),"a Roman female name (nomen - name of a 
Roman gens)",1.1,Livia
"locus or locum, -i (m.)",noun,"a place, spot",1.2,locus
longe,adverb,"a long way off, far, far off, at a distance",2.4,longe
"longus, -a, -um",adjective,"long, extended",1.3,longus
"loquor, -i, locutus sum",verb,"to speak, talk, say, tell, mention, utter",5.1,loquor
"Lucilius, -i (m.)",noun (proper),"a Roman male name (nomen - name of a 
Roman gens)",1.2,Lucilius
"ludo, -ese, lusi, lusum",verb,"to play, mock, tease, trick",5.1,ludo
"ludus, -i (m.)",noun,"a game, play, sport, pastime, entertainment, 
fun; school, elementary school",1.2,ludus
"lumen, -inis (n.)",noun,"light, light of day, light of life, light of the eye",1.1,lumen
"luna, -ae (f.)",noun,the moon; month,5.1,luna
"lupus, -i (m.)",noun,a wolf,4.1,lupus
"lux, lucis (f.)",noun,"light, brightness",5.1,lux
"machina, -ae (f.)",noun,"a machine, engine",4.6,machina
magis,adverb,"more, in a higher degree, more completely",1.3,magis
"magister, -i (m.)",noun,"a teacher, tutor, master, expert, chief; pilot of 
a ship",1.4,magister
"magnus, -a, -um",adjective,"great, large",1.1,magnus
"malo, malle, malui",verb,"to prefer, incline toward, wish rather",1.4,malo
"malum, -i (n.)",noun,"an evil, mischief, misfortune, calamity",2.1,malum
"malus, -a, -um",adjective,"bad, not good",3.6,malus
mane,adverb,in the morning; early in the morning,4.1,mane
"maneo, -ere, mansi, mansum",verb,"to stay, remain, abide, tarry",1.4,maneo
"manus, -us (f.)",noun,a hand; a band (of soldiers),1.2,manus
"mare, -is (n.)",noun,the sea,1.3,mare
"maritus, -i (m.)",noun,"a married man, husband",4.1,maritus
"mater, -tris (f.)",noun,a mother,1.3,mater
maxime or maxume,adverb,"in the highest degree, especially, exceedingly, 
very",2.1,maxime
"medicus, -i (m.)",noun,"a doctor, surgeon",1.2,medicus
"medium, -i (n.)",noun,"the middle, midst, center, interval, intervening 
space",3.1,medium
"medius, -a, -um",adjective,"in the middle, in the midst, mid, mean, middle",1.3,medius
"membrum, -i (n.)",noun,"of the body, a limb, member",4.4,membrum
"memini, -isse",verb,"(a defective verb) to remember, recollect, 
think of, is mindful of",2.3,memini
"memor, -oris",adjective,"mindful, remembering, heedful",4.4,memor
"memoria, -ae (f.)",noun,"memory, recollection; history",3.1,memoria
"mens, mentis (f.)",noun,"the mind, disposition, feeling, character, heart, 
soul",3.1,mens
"mensa, -ae (f.)",noun,"a table; course, meal; counter (of a market 
stall or bank)",1.2,mensa
"mensis, -is (m.)",noun,a month,4.1,mensis
"mercator, -oris (m.)",noun,"a trader, merchant",4.6,mercator
"mereo, -ere, -ui, -itum",verb,"to deserve, merit, be entitled to, be worthy of",4.6,mereo
"metuo, -ere, -ui",verb,"to fear, be afraid, stand in fear, be 
apprehensive",1.2,metuo
"metus, -us (m.)",noun,"fear, dread, apprehension, anxiety",1.3,metus
"meus, -a, -um",adjective,"of me, my, mine, belonging to me, my own",1.1,meus
"miles, -itis (m.)",noun,a soldier,5.4,miles
mille (pl. milia or millia) or M (n.),noun,"a thousand, ten hundred",3.4,mille
minus,adverb,less,2.3,minus
"mirabilis, -e",adjective,"strange, amazing, marvelous; singular",5.1,mirabilis
"misceo, -ere, miscui, mixtum",verb,"to mix, mingle, intermingle, blend",1.3,misceo
"Misenum, -i (n.)",noun (proper),"Misenum, a town and harbor in Campania",2.1,Misenum
"miser, -era, -erum",adjective,"wretched, unfortunate, miserable, pitiable, in 
distress",2.4,miser
"mitto, -ere, misi, missum",verb,"to send, cause to go, let go, send off, dispatch",3.4,mitto
modo,adverb,"only, merely, solely, simply, but, no more than",1.3,modo
"modus, -i (m.)",noun,"a measure, extent, quantity; a manner, way, 
mode",2.4,modus
"moenia, -ium (n. pl.)",noun,"defensive walls, ramparts, bulwarks, city walls",4.4,moenia
"mollis, -e",adjective,"yielding, flexible, supple, soft, tender, delicate, 
gentle, mild, pleasant",3.4,mollis
"moneo, -ere, -ui, -itum",verb,"to remind, advise, warn; teach; admonish; 
foretell",1.1,moneo
"mons, montis (m.)",noun,"a mountain, mount, range of mountains",1.3,mons
"monstrum, -i (n.)",noun,"a divine omen, miracle; a monster",3.1,monstrum
"mora, -ae (f.)",noun,"a delay, procrastination",1.4,mora
"morior, -iri, mortuus sum",verb,"to die, expire",2.4,morior
"moror, -ari, -atus sum",verb,"to delay, stay, wait, remain, linger, loiter",2.4,moror
"mors, -tis (f.)",noun,death,1.3,mors
"mos, moris (m.)",noun,"a will, way, habit, manner, fashion, custom, 
practice",3.1,mos
"moveo, -ere, movi, motum",verb,"to move, stir, set in motion, shake, disturb, 
remove",2.3,moveo
mox,adverb,"soon, directly, presently, then",1.4,mox
"mulier, -eris (f.)",noun,a woman,3.1,mulier
"multitudo, -inis (f.)",noun,"a multitude, great number; crowd; rabble, mob",5.1,multitudo
multum,adverb,"much, very much, greatly",2.1,multum
"multus, -a, -um",adjective,"much, great, many",1.1,multus
"mundus, -i (m.)",noun,"the universe, world, heavens, earth",2.4,mundus
"munus, -eris (n.)",noun,"a service, office, duty; gift, present",1.4,munus
"murus, -i (m.)",noun,"a wall, city wall",4.6,murus
"Musonius, -i (m.)",noun (proper),"a Roman male name (nomen - name of a 
Roman gens)",1.2,Musonius
"muto, -are, -avi, -atum",verb,"to move, move away, remove, change",2.4,muto
nam or namque,conjunction,"for, you see",1.2,nam
"narro, -are, -avi, -atum",verb,"to make known, tell, relate, narrate, report, 
recount, set forth",3.1,narro
"nascor, -i, natus sum",verb,"to be born, begin life, be produced, proceed, 
be begotten",3.6,nascor
"natura, -ae (f.)",noun,"nature, natural constitution, property, quality",1.1,natura
"natus (gnatus), -i (m.)",noun,a son,4.6,natus
"nauta, -ae (m.)",noun,a sailor,1.1,nauta
"navigo, -are, -avi, -atum",verb,to sail; navigate,5.3,navigo
"navis, -is (f.)",noun,a ship,1.4,navis
ne,adverb/conjunction,"no, not, that not, lest, so that not",1.2,ne
-ne,enclitic,"added in a direct question as a question mark 
to the first or principal word of the clause",3.6,-ne
nec or neque,conjunction,"and not, also not, nor",1.1,nec
necesse,adjective,"necessary, essential; unavoidable, 
compulsory, inevitable; true",5.3,necesse
"neglego, -ere, -exi, -ectum",verb,"to disregard, neglect, ignore; do nothing 
about",5.6,neglego
"nego, -are, -avi, -atum",verb,"to say no, deny, refuse",1.2,nego
"negotium, -i (n.)",noun,"work, business, activity, job; pain, trouble, 
annoyance, distress",5.4,negotium
"nemo, -inis",pronoun,"no man, no one, nobody",3.6,nemo
"nemus, -oris (n.)",noun,"a tract of woodland, wood, forest, grove",5.3,nemus
"nescio, -ire, -ivi, -itum",verb,"to not know (how); be ignorant, unfamiliar, 
unaware, unable",5.6,nescio
ni,adverb/conjunction,"not; if not, unless",1.3,ni
"niger, -gra, -grum",adjective,"black, dark",1.2,niger
nihil or nil,pronoun,nothing,1.2,nihil
nisi,conjunction,"if not, unless, except",1.3,nisi
"nobilis, -e",adjective,"that is known, well-known, famous, noted, 
celebrated, renowned",5.4,nobilis
"nolo, nolle, nolui",verb,"to wish ... not, not to wish; be unwilling",5.4,nolo
"nomen, -inis (n.)",noun,"a means of knowing, name",5.1,nomen
non,adverb,"not, by no means, not at all",1.1,non
nondum,adverb,not yet,1.4,nondum
nonne,adverb,"...right?, ...correct?, ...yes? [indicates a 
question that expects a “yes” answer]",5.6,nonne
"nos, nostrum/nostri, nobis, nos, 
nobis",pronoun,"we, us",1.2,nos
"nosco, -ere, novi, notum",verb,"to get knowledge of, become acquainted with, 
come to know, learn, discern",1.4,nosco
"noster, -stra, -strum",adjective,"our, our own, ours, of us",1.2,noster
"notus, -a, -um",adjective,"known, well known",3.4,notus
"novus, -a, -um",adjective,"new, not old, young, fresh, recent",1.3,novus
"nox, noctis (f.)",noun,night,2.1,nox
"nubes, -is (f.)",noun,"a cloud, mist, vapor",2.1,nubes
"nubila, -orum (n. pl.)",noun,"clouds, rain-clouds",2.4,nubila
"nullus, -a, -um",adjective,"not any, none, no",1.2,nullus
num,adverb,"if, whether; now; surely not?  [indicates a 
question that expects a “no” answer]",6.1,num
"numen, -inis (n.)",noun,"a nod; hence, a command, authority, divine 
will; divinity, deity",3.1,numen
"numero, -are, -avi, -atum",verb,"to count, reckon, number",6.2,numero
"numerus, -i (m.)",noun,a number,1.4,numerus
numquam,adverb,"at no time, never",3.6,numquam
nunc,adverb,"now, at present, at this time",1.2,nunc
"nuntio, -are, -avi, -atum",verb,"to announce, report, give warning; convey, 
deliver",2.4,nuntio
"nuntius, -i (m.)",noun,"an announcement, message; a messenger",2.4,nuntius
"nympha, -ae (f.)",noun,"one of the nymphs, demi-goddesses who 
inhabit the sea, rivers, fountains, woods, trees, 
and mountains",5.1,nympha
o,interjection,O! oh!,4.4,o
ob,preposition,"(with acc.) on account of, for, because of, by 
reason of, for the sake of",2.1,ob
"obscurus, -a, -um",adjective,"dark, dusky, shady, obscure",3.1,obscurus
"occido, -ere, -cidi, -casum",verb,"to fall down, fall",2.1,occido
"occupo, -are, -avi, -atum",verb,"to take into possession, seize, occupy, master, 
win",5.4,occupo
"occurro (obc-), -ere, -curri (or 
-cucurri), -cursum",verb,"(with dat.) to run to meet; to oppose, resist; to 
come to mind, occur",3.1,occurro
"oculus, -i (m.)",noun,an eye,1.3,oculus
"odium, -i (n.)",noun,"hate, dislike, unpopularity",5.6,odium
olim,adverb,"formerly; once, once upon a time; in the future",4.4,olim
"omnis, -e",adjective,"all, every",1.1,omnis
"operio, -ire, -ui, -ertum",verb,"to cover, cover over",1.4,operio
"oppidum, -i (n.)",noun,a town,2.3,oppidum
"ops, opis (f.)",noun,"power, might; aid, help; property, substance, 
wealth",4.4,ops
"opto, -are, -avi, -atum",verb,"to choose, select, prefer, wish, wish for, desire",5.4,opto
"opus, -eris (n.)",noun,"work, labor, toil",1.4,opus
"ora, -ae (f.)",noun,"an extremity, border, edge, end, boundary, 
limit, shore",2.1,ora
"oratio, -onis (f.)",noun,a speech; eloquence; the power of speech,3.6,oratio
"orator, -is (m.)",noun,"a speaker, orator",3.6,orator
"orbis, -is (m.)",noun,"a ring, circle, circular path, hoop, orbit",4.6,orbis
"ordo, -inis (m.)",noun,"a row, line, series, order, rank",5.3,ordo
"oro, -are, -avi, -atum",verb,"to speak, argue, plead, pray, beg, implore",2.1,oro
"os, oris (n.)",noun,the mouth; (in general) the face,4.4,os
"ostendo, -ere, -di, -tum",verb,"to stretch out, spread before, show, point out, 
exhibit, display",3.1,ostendo
"otium, -i (n.)",noun,"leisure; spare time; holiday; ease, rest, peace, 
quiet, calm",2.3,otium
paene,adverb,"nearly, almost; mostly",3.4,paene
"Pallas, -antis (m.)",noun (proper),"Pallas, son of Evander",5.6,Pallas
"palma, -ae (f.)",noun,"the palm, flat hand; a palm tree, palm",4.4,palma
"panis, -is (m.)",noun,bread,4.1,panis
"par, paris",adjective,equal,3.4,par
"parco, -ere, peperci, parsum",verb,"to act sparingly, be sparing, spare, refrain 
from, use moderately",5.3,parco
"parens, -entis (m. or f.)",noun,"a procreator, father, mother, parent",2.4,parens
pariter,adverb,"equally, in an equal degree, in like manner, as 
well, as much, alike",4.6,pariter
"paro, -are, -avi, -atum",verb,"to prepare, make ready, furnish, provide; 
arrange, order, design",5.1,paro
"pars, partis (f.)",noun,"a part, piece, portion, share, division, section",1.2,pars
parum,adverb,"too little, not enough, insufficiently",2.4,parum
"parvus, -a, -um",adjective,"little, small, petty, puny, inconsiderable",4.6,parvus
"pater, -tris (m.)",noun,a father,1.2,pater
"patior, -i, passus sum",verb,"to bear, support, undergo, suffer, endure",2.3,patior
"patria, -ae (f.)",noun,"a fatherland, native land, own country, native 
place",4.6,patria
"patrona, -ae (f.)",noun,"a protectress, patroness, female patron",3.4,patrona
"patronus, -i (m.)",noun,"a patron; advocate; defender, protector",4.1,patronus
"paucus, -a, -um",adjective,"few, little",3.4,paucus
"paulum, paulo",adverb,"to only a small extent, slightly, a little",2.1,paulum
"pauper, -eris",adjective,"poor, meager, unproductive; cheap, of little 
worth",3.4,pauper
"pax, pacis (f.)",noun,"a compact, agreement, peace, treaty of peace",5.3,pax
"pectus, -oris (n.)",noun,"a breast, chest",4.4,pectus
"pecunia, -ae (f.)",noun,money; property,3.6,pecunia
"pello, -ere, pepuli, pulsum",verb,"to beat; to push; to drive out, banish, strike, 
defeat, drive away",4.1,pello
"pendeo, -ere, pependi",verb,"to hang, hang down, be suspended",4.4,pendeo
per,preposition,"(with acc.) through, across, along, among",1.1,per
"perdo, -ere, -didi, -ditum",verb,"to destroy, make away with, ruin, squander, 
throw away, waste, lose",3.4,perdo
"pereo, -ire, -ii (or -ivi), -itum",verb,"to pass away, come to nothing, vanish, 
disappear, perish, die",2.3,pereo
"periculosus, -a, -um",adjective,dangerous; threatening,4.1,periculosus
"periculum or periclum, -i (n.)",noun,"a trial, experiment, attempt, test; risk, hazard, 
danger, peril",1.3,periculum
"persona, -ae (f.)",noun,a mask; character; personality,4.1,persona
"persuadeo, -ere, -suasi, 
-suasum",verb,"(with dat.) to persuade, convince",4.1,persuadeo
"pervenio, -ire, -veni, -ventum",verb,"to come up, arrive, reach",3.4,pervenio
"pes, pedis (m.)",noun,a foot,4.6,pes
"peto, -ere, -ivi (or -ii), -itum",verb,"to strive for, seek, aim at, repair to, make for, 
travel to",1.2,peto
"pharetra, -ae (f.)",noun,a quiver,4.4,pharetra
"pictura, -ae (f.)",noun,a painting; picture,4.1,pictura
"placeo, -ere, -cui, placitus sum 
(or placitum)",verb,"to please, be pleasing, be agreeable, be 
acceptable, suit, satisfy",1.1,placeo
"plaudo, -ere, plausi, plausum",verb,"to clap, strike; beat (wings); applaud; express 
(dis)approval",4.6,plaudo
"plenus, -a, -um",adjective,"full, filled",5.4,plenus
"Plinius, -i (m.)",noun (proper),"a Roman male name (nomen - the name of a 
Roman gens)",2.1,Plinius
"plus, pluris",adjective,more,1.2,plus
"poculum, -i (n.)",noun,"a cup, bowl, drinking vessel; drink; (pl.) social 
drinking",5.3,poculum
"poena, -ae (f.)",noun,"compensation, retribution, punishment, 
penalty, price",5.4,poena
"poeta, -ae (m.)",noun,a poet,1.3,poeta
"pompa, -ae (f.)",noun,a procession; retinue; pomp,5.3,pompa
